u,v
KRISHNARAJAP,SMVTBENGALUR
SMVTBENGALUR,ADSBYGOOGLEW
RAXAUL,NAKARDEI
NAKARDEI,ADAPUR81KMHR
ADAPUR81KMHR,PACHPOKHARIA
PACHPOKHARIA,CHAURADANO25
CHAURADANO25,JAIMURTINAGA
JAIMURTINAGA,GHORASAHAN16
GHORASAHAN16,RAMROOPNAGAR
RAMROOPNAGAR,KUNDWACHAINP
KUNDWACHAINP,GURHANWA
GURHANWA,BAIRAGNIA17K
BAIRAGNIA17K,DHANG128KMHR
DHANG128KMHR,MOHINIMANDAL
MOHINIMANDAL,RIGA20KMHR
RIGA20KMHR,TAPASWINARAY
TAPASWINARAY,SITAMARHI34K
SITAMARHI34K,BHISAHALT
BHISAHALT,PARSAUNI6KMH
PARSAUNI6KMH,BAJPATTI70KM
BAJPATTI70KM,AWAPUR
AWAPUR,BACHHARPURHA
BACHHARPURHA,JANAKPURROAD
JANAKPURROAD,CHANDAUNAHAL
CHANDAUNAHAL,JOGIARA10KMH
JOGIARA10KMH,ADSBYGOOGLEW
ADSBYGOOGLEW,DEORABANDHAU
DEORABANDHAU,MURAITHA
MURAITHA,KAMTAUL
KAMTAUL,TEKTAR
TEKTAR,MUHAMMADPUR
MUHAMMADPUR,SHISHO
SHISHO,DARBHANGA
KIUL,LUCKEESARAI
LUCKEESARAI,MANKATHA1KMH
MANKATHA1KMH,DUMRI
DUMRI,BARHIYA2KMHR
BARHIYA2KMHR,RAMPURDUMRA1
RAMPURDUMRA1,HATHIDAH95KM
HATHIDAH95KM,TALL35KMHR
TALL35KMHR,MOKAMA51KMHR
MOKAMA51KMHR,MOR95KMHR
MOR95KMHR,PUNARAKH124K
PUNARAKH124K,BARH95KMHR
BARH95KMHR,ATHMALGOLA95
ATHMALGOLA95,BAKHTIYARPUR
BAKHTIYARPUR,CHAMPAPURHAL
CHAMPAPURHAL,TEKABIGHA3KM
TEKABIGHA3KM,SALIMPURBIHA
SALIMPURBIHA,KARAUTA3KMHR
KARAUTA3KMHR,MANJHAULIGRA
MANJHAULIGRA,KHUSROPUR2KM
KHUSROPUR2KM,HARDASBIGHA
HARDASBIGHA,FATUHA1KMHR
FATUHA1KMHR,BANKAGHAT95K
BANKAGHAT95K,PATNASAHEB95
PATNASAHEB95,GULZARBAGH55
GULZARBAGH55,RAJENDRANAGA
RAJENDRANAGA,PATNA6KMHR
PATNA6KMHR,ADSBYGOOGLEW
HOWRAH,BARDHAMAN2KM
BARDHAMAN2KM,ASANSOL134KM
ASANSOL134KM,DHANBAD74KMH
DHANBAD74KMH,PARASNATH125
PARASNATH125,KODERMA142KM
KODERMA142KM,GAYA82KMHR
GAYA82KMHR,RAFIGANJ110K
RAFIGANJ110K,ANUGRAHANROA
ANUGRAHANROA,DEHRIONSONE1
DEHRIONSONE1,SASARAM115KM
SASARAM115KM,KHURMABADROA
KHURMABADROA,ADSBYGOOGLEW
ADSBYGOOGLEW,BHABUAROAD
BHABUAROAD,PTDEENDAYALU
PTDEENDAYALU,MIRZAPUR
MIRZAPUR,PRAYAGRAJ
PRAYAGRAJ,FATEHPUR
FATEHPUR,KANPURCENTRA
TUNDLA,IDGAH
IDGAH,ACHHNERA
ACHHNERA,BHARATPUR
BHARATPUR,JAIPUR
JAIPUR,NAWACITY
NAWACITY,KUCHAMANCITY
KUCHAMANCITY,MAKRANA
MAKRANA,DEGANA
DEGANA,MERTAROAD
MERTAROAD,JODHPUR
BARHNI,PARSA
PARSA,SHOHRATGARH8
SHOHRATGARH8,CHILHIA81KMH
CHILHIA81KMH,SIDDHARTHNAG
SIDDHARTHNAG,USKABAZAR95K
USKABAZAR95K,ADSBYGOOGLEW
ADSBYGOOGLEW,BRIDGMANGANJ
BRIDGMANGANJ,ANANDNAGAR
ANANDNAGAR,CAMPIERGANJ
CAMPIERGANJ,PEPPEGANJ
PEPPEGANJ,MANIRAM
MANIRAM,NAKAHAJUNGLE
NAKAHAJUNGLE,GORAKHPUR
