train_id,station_code,arr_sched,arr_actual,dep_sched,dep_actual,arr_delay,dep_delay
55131_2025-11-02,KADIPUR,2025-11-02 07:52,,2025-11-02 07:54,,,
55131_2025-11-02,SARNATH,2025-11-02 08:08,,2025-11-02 08:10,,,
55131_2025-11-02,VARANASICITY,2025-11-02 08:20,,2025-11-02 08:25,,,
55131_2025-11-02,VARANASI,2025-11-02 08:45,,2025-11-02 08:50,,,
55131_2025-11-02,BANARAS,2025-11-02 09:00,,2025-11-02 09:05,,,
55131_2025-11-02,BHULANPUR,2025-11-02 09:08,,2025-11-02 09:09,,,
55131_2025-11-02,HARDATTPUR,2025-11-02 09:13,,2025-11-02 09:15,,,
55131_2025-11-02,RAJATALAB,2025-11-02 09:21,,2025-11-02 09:23,,,
55131_2025-11-02,BAHERWAHALT,2025-11-02 09:30,,2025-11-02 09:31,,,
55131_2025-11-02,NIGATPUR,2025-11-02 09:34,,2025-11-02 09:36,,,
55131_2025-11-02,KACHHWAROAD,2025-11-02 09:41,,2025-11-02 09:43,,,
55131_2025-11-02,KATKA,2025-11-02 09:50,,2025-11-02 09:52,,,
55131_2025-11-02,MADHOSINGH,2025-11-02 09:59,,2025-11-02 10:01,,,
55131_2025-11-02,AHIMANPUR,2025-11-02 10:07,,2025-11-02 10:08,,,
55131_2025-11-02,ALMAW,2025-11-02 10:12,,2025-11-02 10:13,,,
55131_2025-11-02,GYANPURROAD,2025-11-02 10:18,,2025-11-02 10:20,,,
55131_2025-11-02,SARAIJAGDISH,2025-11-02 10:27,,2025-11-02 10:28,,,
55131_2025-11-02,JANGIGANJ,2025-11-02 10:31,,2025-11-02 10:32,,,
55131_2025-11-02,ATRAURA,2025-11-02 10:37,,2025-11-02 10:38,,,
55131_2025-11-02,BHITI,2025-11-02 10:42,,2025-11-02 10:44,,,
55131_2025-11-02,HANDIAKHAS,2025-11-02 10:52,,2025-11-02 10:54,,,
55131_2025-11-02,SAIDABAD,2025-11-02 11:02,,2025-11-02 11:03,,,
55131_2025-11-02,RAMNATHPUR,2025-11-02 11:18,,2025-11-02 11:20,,,
55131_2025-11-02,JHUSI,2025-11-02 11:33,,2025-11-02 11:35,,,
55131_2025-11-02,PRAYAGRAJRAM,,,,,,
94802_2025-11-02,BHUJ,,,2025-11-02 05:15,,,
94802_2025-11-02,ANJAR130KMHR,2025-11-02 05:40,,2025-11-02 05:42,,,
94802_2025-11-02,GANDHIDHAMBG,2025-11-02 05:55,,2025-11-02 06:05,,,
94802_2025-11-02,BHACHAUBG101,2025-11-02 06:36,,2025-11-02 06:38,,,
94802_2025-11-02,SAMAKHIALIBG,2025-11-02 06:54,,2025-11-02 06:56,,,
94802_2025-11-02,HALVAD152KMH,2025-11-02 07:55,,2025-11-02 07:57,,,
94802_2025-11-02,GHANSHYMGADH,2025-11-02 08:27,,2025-11-02 08:27,,,
94802_2025-11-02,ADSBYGOOGLEW,,,,,,
94802_2025-11-02,DHRANGADHRA,,,,,,
94802_2025-11-02,VIRAMGAM,,,,,,
94802_2025-11-02,SANAND,,,,,,
94802_2025-11-02,AMBLIROAD,,,,,,
94802_2025-11-02,CHANDLODIYA,,,,,,
94802_2025-11-02,SABARMATI,,,,,,
94802_2025-11-02,AHMEDABAD,,,,,,
12556_2025-11-02,BATHINDA,,,2025-11-02 14:15,,,
12556_2025-11-02,SIRSA120KMHR,2025-11-02 15:20,,2025-11-02 15:25,,,
12556_2025-11-02,BHATTU125KMH,2025-11-02 15:51,,2025-11-02 15:53,,,
12556_2025-11-02,HISAR126KMHR,2025-11-02 16:30,,2025-11-02 16:35,,,
12556_2025-11-02,BHIWANI106KM,2025-11-02 17:40,,2025-11-02 18:05,,,
12556_2025-11-02,KALANAURKALA,2025-11-02 18:30,,2025-11-02 18:32,,,
12556_2025-11-02,ROHTAK59KMHR,2025-11-02 19:33,,,,,
12556_2025-11-02,BAHADURGARH1,2025-11-02 20:03,,2025-11-02 20:05,,,
12556_2025-11-02,NANGLOI113KM,2025-11-02 20:16,,2025-11-02 20:18,,,
12556_2025-11-02,SHAKURBASTI5,2025-11-02 20:26,,2025-11-02 20:28,,,
12556_2025-11-02,NEWDELHI33KM,2025-11-02 21:10,,2025-11-02 21:25,,,
12556_2025-11-02,KANPURCENTRA,2025-11-02 02:55,,2025-11-02 03:05,,,
12556_2025-11-02,UNNAO33KMHR,2025-11-02 03:36,,2025-11-02 03:38,,,
12556_2025-11-02,LUCKNOW80KMH,2025-11-02 04:50,,2025-11-02 05:00,,,
12556_2025-11-02,BARABANKI68K,2025-11-02 05:48,,2025-11-02 05:50,,,
12556_2025-11-02,GONDA102KMHR,2025-11-02 07:00,,2025-11-02 07:05,,,
12556_2025-11-02,MANKAPUR83KM,2025-11-02 07:27,,2025-11-02 07:29,,,
12556_2025-11-02,BABHNAN136KM,2025-11-02 07:53,,2025-11-02 07:55,,,
