u,v
VARANASI79KM,PRAYAGRAJ77K
PRAYAGRAJ77K,MANAURI
MANAURI,ADSBYGOOGLEW
ADSBYGOOGLEW,GOVINDPURI
GOVINDPURI,ANANDVIHARTE
HAZRATNIZAMU,MATHURA75KMH
MATHURA75KMH,SAWAIMADHOPU
SAWAIMADHOPU,KOTA109KMHR
KOTA109KMHR,NAGDA127KMHR
NAGDA127KMHR,RATLAM63KMHR
RATLAM63KMHR,VADODARA120K
VADODARA120K,SURAT123KMHR
SURAT123KMHR,UDHNA
UDHNA,ADSBYGOOGLEW
ADSBYGOOGLEW,VASAIROAD
VASAIROAD,THANE
SANTRAGACHI,KHARAGPUR74K
KHARAGPUR74K,BALASORE74KM
BALASORE74KM,BHADRAKH22KM
BHADRAKH22KM,CUTTACK4KMHR
CUTTACK4KMHR,BHUBANESWAR6
BHUBANESWAR6,KHURDAROAD71
KHURDAROAD71,BRAHMAPUR130
BRAHMAPUR130,VIZIANAGRAM9
VIZIANAGRAM9,DUVVADA70KMH
DUVVADA70KMH,SAMALKOT
SAMALKOT,ADSBYGOOGLEW
ADSBYGOOGLEW,VIJAYAWADA
VIJAYAWADA,GUNTUR
GUNTUR,NARASARAOPET
NARASARAOPET,MARKAPURROAD
MARKAPURROAD,GIDDALUR
GIDDALUR,NANDYAL
NANDYAL,DHONE
DHONE,GOOTY
GOOTY,ANANTAPUR
ANANTAPUR,DHARMAVARAM
DHARMAVARAM,SAIPNILAYAM
SAIPNILAYAM,HINDUPUR
HINDUPUR,YELAHANKA
MUMBAICENTRA,BORIVALI3KMH
BORIVALI3KMH,SURAT86KMHR
SURAT86KMHR,VADODARA99KM
VADODARA99KM,RATLAM111KMH
RATLAM111KMH,NAGDA86KMHR
NAGDA86KMHR,ADSBYGOOGLEW
ADSBYGOOGLEW,KOTA
KOTA,MATHURA
MATHURA,NEWDELHI
NEWDELHI,MATHURA6KMHR
MATHURA6KMHR,KOTA122KMHR
KOTA122KMHR,NAGDA108KMHR
NAGDA108KMHR,RATLAM57KMHR
RATLAM57KMHR,ADSBYGOOGLEW
ADSBYGOOGLEW,VADODARA
VADODARA,SURAT
SURAT,BORIVALI
CHANDIGARH,AMBALACANT10
AMBALACANT10,SAHARANPUR10
SAHARANPUR10,MEERUTCITY92
MEERUTCITY92,GHAZIABAD31K
GHAZIABAD31K,HAZRATNIZAMU
HAZRATNIZAMU,KOTA82KMHR
KOTA82KMHR,RATLAM16KMHR
RATLAM16KMHR,VADODARA120K
VADODARA120K,UDHNA88KMHR
UDHNA88KMHR,VANGAON
VANGAON,ADSBYGOOGLEW
VASAIROAD,PANVEL
PANVEL,ROHA
ROHA,RATNAGIRI
RATNAGIRI,THIVIM
THIVIM,MADGAONJUNCT
MADGAONJUNCT,KARWAR
KARWAR,KUMTA
KUMTA,MOOKAMBIKARO
MOOKAMBIKARO,KUNDAPURA
KUNDAPURA,UDUPI
UDUPI,MANGALOREJUN
MANGALOREJUN,KASARAGOD
KASARAGOD,KANNUR
KANNUR,KOZHIKKODE
KOZHIKKODE,SHORANUR
SHORANUR,THRISUR
THRISUR,ALUVA
ALUVA,ERNAKULAMTOW
ERNAKULAMTOW,KOTTAYAM
KOTTAYAM,CHENGANNUR
CHENGANNUR,KAYANKULAM
KAYANKULAM,KOLLAM
KOLLAM,VARKALA
VARKALA,THIRUVANANTH
HAZRATNIZAMU,KOTA93KMHR
KOTA93KMHR,RATLAM18KMHR
RATLAM18KMHR,VADODARA118K
VADODARA118K,UDHNA100KMHR
UDHNA100KMHR,VASAIROAD119
VASAIROAD119,PANVEL74KMHR
PANVEL74KMHR,ROHA102KMHR
ROHA102KMHR,RATNAGIRI66K
RATNAGIRI66K,THIVIM69KMHR
THIVIM69KMHR,MADGAONJUNCT
MADGAONJUNCT,KARWAR104KMH
KARWAR104KMH,KUMTA120KMHR
KUMTA120KMHR,MOOKAMBIKARO
MOOKAMBIKARO,KUNDAPURA8KM
KUNDAPURA8KM,UDUPI114KMHR
UDUPI114KMHR,MANGALOREJUN
MANGALOREJUN,KASARAGOD107
KASARAGOD107,KANNUR108KMH
KANNUR108KMH,KOZHIKKODE96
KOZHIKKODE96,KALLAYI
KALLAYI,ADSBYGOOGLEW
ADSBYGOOGLEW,SHORANUR
REWA,SATNA75KMHR
SATNA75KMHR,KATNI103KMHR
KATNI103KMHR,JABALPUR60KM
JABALPUR60KM,PIPARIYA9KMH
PIPARIYA9KMH,ITARSI32KMHR
ITARSI32KMHR,KHANDWAJUNCT
KHANDWAJUNCT,BHUSAVAL79KM
BHUSAVAL79KM,PARDHADE
PARDHADE,ADSBYGOOGLEW
NASIKROAD,KALYAN
KALYAN,CSHIVAJIMAHT
ITARSI,GURRA68KMHR
GURRA68KMHR,SONTALAI84KM
SONTALAI84KM,BAGRATAWA84K
SOHAGPUR95KM,PIPARIYA126K
PIPARIYA126K,BANKHEDI131K
BOHANI88KMHR,KARELI
KARELI,NARSINGHPUR2
NARSINGHPUR2,GHATPINDRAI
GHATPINDRAI,BELKHERA6KMH
BELKHERA6KMH,KARAKBEL78KM
SRIDHAM102KM,BIKRAMPUR115
BIKRAMPUR115,BHITONI87KMH
BHITONI87KMH,BHERAGHAT112
BHERAGHAT112,MADANMAHAL11
MADANMAHAL11,JABALPUR28KM
JABALPUR28KM,ADHARTAL75KM
ADHARTAL75KM,DEORI77KMHR
DEORI77KMHR,GOSALPUR106K
GOSALPUR106K,SIHORAROAD95
SIHORAROAD95,DUNDI110KMHR
DUNDI110KMHR,SLEEMANABADR
SLEEMANABADR,ADSBYGOOGLEW
ADSBYGOOGLEW,SANSARPUR
